geo,time,forvarvsfrekvens_kvinnor
61,2011,"77,8"
61,2012,"79,6"
61,2013,"81,3"
61,2014,"79,3"
61,2015,"79,4"
61,2016,"81,9"
62,2000,73
62,2001,73
62,2002,"76,6"
62,2003,"73,5"
62,2004,"72,9"
62,2005,"72,7"
62,2006,"77,3"
62,2007,"75,8"
62,2008,"76,2"
62,2009,"74,7"
62,2010,"76,7"
62,2011,"74,9"
62,2012,"76,7"
62,2013,"76,8"
62,2014,"77,6"
62,2015,"78,6"
62,2016,"76,9"
63,2000,"71,5"
63,2001,"71,5"
63,2002,"74,3"
63,2003,"72,8"
63,2004,"72,1"
63,2005,"72,8"
63,2006,"74,6"
63,2007,"73,9"
63,2008,"76,8"
63,2009,"74,3"
63,2010,"77,9"
63,2011,"73,8"
63,2012,"74,4"
63,2013,"72,2"
63,2014,"79,4"
63,2015,"77,6"
63,2016,"81,6"
81,2000,"77,3"
81,2001,"77,3"
81,2002,"73,3"
81,2003,"69,2"
81,2004,"77,1"
81,2005,"72,3"
81,2006,"77,3"
81,2007,73
81,2008,"75,5"
81,2009,"81,4"
81,2010,"82,4"
81,2011,"79,3"
81,2012,"76,9"
81,2013,"76,5"
81,2014,"78,1"
81,2015,"77,2"
81,2016,"77,3"
82,2000,"80,5"
82,2001,"80,5"
82,2002,"77,4"
82,2003,"77,2"
82,2004,"78,7"
82,2005,"81,1"
82,2006,"79,6"
82,2007,"84,1"
82,2008,"85,4"
82,2009,"83,3"
82,2010,"84,6"
82,2011,"87,9"
82,2012,"88,8"
82,2013,"87,4"
82,2014,"86,2"
82,2015,87
82,2016,"87,1"
83,2000,"61,1"
83,2001,"61,1"
83,2002,"66,7"
83,2003,"65,3"
83,2004,"69,9"
83,2005,"70,7"
83,2006,"67,5"
83,2007,"75,9"
83,2008,73
83,2009,"75,3"
83,2010,"71,1"
83,2011,"79,1"
83,2012,"72,5"
83,2013,"77,5"
83,2014,"81,3"
83,2015,"81,4"
83,2016,"79,2"
2,2000,"76,4"
2,2001,"76,4"
2,2002,"78,5"
2,2003,"79,8"
2,2004,"79,6"
2,2005,"78,2"
2,2006,"79,1"
2,2007,"79,1"
2,2008,"78,9"
2,2009,"77,7"
2,2010,"79,6"
2,2011,"83,1"
2,2012,"84,4"
2,2013,"82,6"
2,2014,"85,3"
2,2015,"80,7"
2,2016,"83,9"
5,2000,"78,9"
5,2001,"78,9"
5,2002,79
5,2003,"78,9"
5,2004,"80,1"
5,2005,"80,9"
5,2006,"82,1"
5,2007,"83,7"
5,2008,"83,7"
5,2009,"82,3"
5,2010,"81,7"
5,2011,"82,6"
5,2012,"83,8"
5,2013,84
5,2014,85
5,2015,"85,3"
5,2016,"87,1"
7,2000,"80,5"
7,2001,"80,5"
7,2002,"81,7"
7,2003,"79,9"
7,2004,"81,8"
7,2005,"82,4"
7,2006,"82,7"
7,2007,"83,9"
7,2008,"84,4"
7,2009,"83,4"
7,2010,"84,9"
7,2011,"85,6"
7,2012,86
7,2013,87
7,2014,88
7,2015,"87,8"
7,2016,"89,2"
